ID,KEY,en-us,pt-br,es-es,ba-id,,
H5K-E,OP002,title:Bet not placed.description:The bet could not be completed due to a connection or validation failure. Please try again.,title:Aposta não realizada.description:A aposta não pôde ser concluída devido a uma falha de conexão ou validação. Tente novamente.,title:Apuesta no realizada.description:La apuesta no se pudo completar debido a una falla de conexión o validación. Intente nuevamente.,title:Taruhan Tidak Dilakukan.description:Taruhan tidak dapat diselesaikan karena kegagalan koneksi atau validasi. Silakan coba lagi.,,
N5S-E,OP003,title:Bet time expired.description:The time to place the bet has expired. Please try again within the allowed time.,title:Tempo de aposta expirado.description:O tempo para realizar a aposta se esgotou. Tente novamente dentro do prazo permitido.,title:Tiempo de apuesta expirado.description:El tiempo para realizar la apuesta expiró. Intente nuevamente dentro del tiempo permitido.,title:Waktu Taruhan Habis.description:Waktu untuk memasang taruhan telah habis. Silakan coba lagi dalam waktu yang diperbolehkan.,,
N4Z-E,OP004,title:Duplicate bet.description:An identical bet has already been placed. Please wait for the result before trying again.,title:Aposta duplicada.description:Uma aposta igual já foi registrada. Aguarde o resultado antes de tentar novamente.,title:Apuesta duplicada.description:Ya se ha registrado una apuesta idéntica. Espere el resultado antes de intentar nuevamente.,title:Taruhan Duplikat.description:Taruhan yang sama sudah ditempatkan. Harap tunggu hasil sebelum mencoba lagi.,,
F6O-E,OP005,title:Withdrawal not completed.description:The withdrawal could not be completed. Review the information and try again or contact support.,title:Pagamento não realizado.description:Não foi possível concluir o saque. Revise as informações e tente novamente ou entre em contato com o suporte.,title:Pago no realizado.description:No se pudo completar el retiro. Revise la información e intente nuevamente o contacte al soporte.,title:Penarikan Tidak Selesai.description:Pencairan dana tidak dapat diselesaikan. Periksa informasi dan coba lagi atau hubungi dukungan.,,
G2X-E,CS001,title:Suspicious activity detected.description:Unusual activity was detected on your account. Please contact support to ensure your security.,title:Atividade suspeita detectada.description:Detectamos uma atividade incomum em sua conta. Contate o suporte para garantir sua segurança.,"title:Actividad sospechosa detectada.description:Se detectó actividad inusual en su cuenta. Por favor, contacte al soporte para garantizar su seguridad.",title:Aktivitas Mencurigakan Terdeteksi.description:Aktivitas mencurigakan terdeteksi di akun Anda. Silakan hubungi dukungan untuk memastikan keamanan Anda.,,
I8D-E,CS002,title:Device restriction.description:This device is not authorized to access the game. Try using a different device.,title:Restrição de dispositivo.description:Este dispositivo não tem permissão para acessar o jogo. Tente usar outro dispositivo.,title:Restricción de dispositivo.description:Este dispositivo no está autorizado para acceder al juego. Intente usar otro dispositivo.,title:Pembatasan Perangkat.description:Perangkat ini tidak diizinkan untuk mengakses permainan. Coba gunakan perangkat lain.,,
B5O-E,CS003,title:Failed to load settings.description:We couldn’t load your settings. Check your connection and try again.,title:Erro ao carregar configurações.description:Não conseguimos carregar suas configurações. Verifique sua conexão e tente novamente.,title:Error al cargar configuraciones.description:No pudimos cargar sus configuraciones. Verifique su conexión e intente nuevamente.,title:Gagal Memuat Pengaturan.description:Pengaturan Anda gagal dimuat. Periksa koneksi Anda dan coba lagi.,,
Z7H-E,CS004,title:Play time verification.description:You have reached a time limit in the game. Would you like to continue or exit?,title:Verificação de tempo de jogo.description:Você atingiu um limite de tempo no jogo. Deseja continuar ou sair?,title:Verificación de tiempo de juego.description:Ha alcanzado un límite de tiempo en el juego. ¿Desea continuar o salir?,title:Verifikasi Waktu Bermain.description:Anda telah mencapai batas waktu bermain dalam permainan. Apakah Anda ingin melanjutkan atau keluar?,,
N6J-E,MS001,,,,,,
C1M-E,CR001,title:Action not allowed at this time.description:This action is not available right now. Please try again in a moment.,title:Ação não permitida no momento.description:Esta ação não está disponível no momento. Tente novamente em instantes.,"title:Acción no permitida en este momento.description:Esta acción no está disponible en este momento. Por favor, intente nuevamente en un momento.",title:Aksi Tidak Diizinkan Saat Ini.description:Tindakan ini tidak tersedia saat ini. Silakan coba lagi sebentar lagi.,,
X6Y-E,RL001,,,,,,
H8K-E,CL001,title:Invalid channel.description:You attempted to connect to an invalid or unavailable channel. Please check and try again.,title:Canal inválido.description:Você tentou se conectar a um canal inválido ou não disponível. Verifique e tente novamente.,title:Canal inválido.description:Intentó conectarse a un canal inválido o no disponible. Verifique e intente nuevamente.,title:Saluran Tidak Valid.description:Anda mencoba mengakses saluran yang tidak valid atau tidak tersedia. Periksa dan coba lagi.,,
W4F-E,CL002,title:Conflicting auto bet.description:You cannot start an auto bet while a manual bet is still active.,title:Aposta automática conflitante.description:Não é possível iniciar uma aposta automática enquanto uma aposta manual estiver ativa.,title:Apuesta automática conflictiva.description:No puede iniciar una apuesta automática mientras una apuesta manual esté activa.,title:Taruhan Otomatis Bertentangan.description:Anda tidak dapat memulai taruhan otomatis saat taruhan manual masih aktif.,,
N9V-E,CL003,title:Bet amount too high.description:The bet amount exceeds the maximum allowed. Adjust the value and try again.,title:Valor da aposta muito alto.description:O valor da aposta excede o limite máximo permitido. Ajuste e tente novamente.,title:Valor de apuesta demasiado alto.description:El valor de la apuesta excede el máximo permitido. Ajuste el valor e intente nuevamente.,title:Jumlah Taruhan Terlalu Tinggi.description:Jumlah taruhan melebihi batas maksimum yang diizinkan. Sesuaikan nilai dan coba lagi.,,
D9X-E,CL004,title:Bet amount too low.description:The bet amount is below the minimum allowed. Adjust the value and try again.,title:Valor da aposta muito baixo.description:O valor da aposta está abaixo do mínimo permitido. Ajuste e tente novamente.,title:Valor de apuesta demasiado bajo.description:El valor de la apuesta está por debajo del mínimo permitido. Ajuste el valor e intente nuevamente.,title:Jumlah Taruhan Terlalu Rendah.description:Jumlah taruhan di bawah batas minimum yang diizinkan. Sesuaikan nilai dan coba lagi.,,
H4C-E,CL005,title:Auto bet not enabled.description:The auto bet feature is currently disabled.,title:Aposta automática não habilitada.description:A funcionalidade de aposta automática está desativada no momento.,title:Apuesta automática no habilitada.description:La función de apuesta automática está desactivada en este momento.,title:Taruhan Otomatis Tidak Diaktifkan.description:Fitur taruhan otomatis saat ini dinonaktifkan.,,
V0N-E,EX000,title:Unexpected error.description:An unexpected error occurred. Please reconnect or contact support if the problem persists.,title:Erro inesperado.description:Ocorreu um erro inesperado. Tente reconectar ou entre em contato com o suporte se o problema persistir.,"title:Error inesperado.description:Ocurrió un error inesperado. Por favor, reconéctese o contacte al soporte si el problema persiste.",title:Kesalahan Tak Terduga.description:Terjadi kesalahan tak terduga. Silakan sambungkan kembali atau hubungi dukungan jika masalah berlanjut.,,
N2N-E,,,,,,,
W7P-E,,,,,,,
C2U-E,,,,,,,
S4A-E,,,,,,,
Q4S-E,,,,,,,
N7H-E,,,,,,,
P0V-E,,,,,,,
V6N-E,,,,,,,
T7L-E,,,,,,,
N9D-E,,,,,,,
H9O-E,,,,,,,
Y0U-E,,,,,,,
Q3P-E,,,,,,,
U4U-E,,,,,,,
B9A-E,,,,,,,
L1F-E,,,,,,,
F6G-E,,,,,,,
U4J-E,,,,,,,
V5O-E,,,,,,,
B8V-E,,,,,,,
C5W-E,,,,,,,
Z7I-E,,,,,,,
K2C-E,,,,,,,
C5R-E,,,,,,,
J1V-E,,,,,,,
W9F-E,,,,,,,
S5Q-E,,,,,,,
Y4O-E,,,,,,,
Q1M-E,,,,,,,
A2I-E,,,,,,,
M5L-E,,,,,,,
V2R-E,,,,,,,
V2P-E,,,,,,,
U9N-E,,,,,,,
C7F-E,,,,,,,
P5L-E,,,,,,,
Z4A-E,,,,,,,
L0I-E,,,,,,,
C5P-E,,,,,,,
O3P-E,,,,,,,
O6B-E,,,,,,,
E5Q-E,,,,,,,
G3F-E,,,,,,,
B8N-E,,,,,,,
Q7W-E,,,,,,,
O7Q-E,,,,,,,
C6W-E,,,,,,,
H2I-E,,,,,,,
S3E-E,,,,,,,
T2T-E,,,,,,,
O3Q-E,,,,,,,
I2P-E,,,,,,,
R9V-E,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
